animal_id,group,project,experiment,cluster,time_bin,percentage,seconds,time_min
123.1,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_390s,18.799999999999997,390.0,6.5
123.1,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_420s,8.933333333333334,420.0,7.0
123.1,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_450s,22.933333333333334,450.0,7.5
123.3,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_030s,24.0,30.0,0.5
123.3,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_060s,11.333333333333334,60.0,1.0
123.3,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_090s,27.733333333333334,90.0,1.5
123.3,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_120s,43.73333333333333,120.0,2.0
123.3,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_150s,26.8,150.0,2.5
123.3,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_180s,7.466666666666667,180.0,3.0
123.3,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_210s,21.066666666666666,210.0,3.5
123.3,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_240s,3.333333333333333,240.0,4.0
123.3,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_270s,0.0,270.0,4.5
123.3,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_300s,2.0,300.0,5.0
123.3,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_330s,8.533333333333333,330.0,5.5
123.3,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_360s,10.799999999999999,360.0,6.0
123.3,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_390s,2.0,390.0,6.5
123.3,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_420s,0.8,420.0,7.0
123.3,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_450s,0.0,450.0,7.5
123.3,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_030s,9.733333333333333,30.0,0.5
123.3,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_060s,7.066666666666667,60.0,1.0
123.3,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_090s,3.733333333333334,90.0,1.5
123.3,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_120s,6.2666666666666675,120.0,2.0
123.3,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_150s,14.266666666666666,150.0,2.5
123.3,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_180s,4.133333333333333,180.0,3.0
123.3,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_210s,4.133333333333333,210.0,3.5
123.3,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_240s,0.0,240.0,4.0
123.3,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_270s,0.0,270.0,4.5
123.3,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_300s,2.8,300.0,5.0
123.3,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_330s,0.0,330.0,5.5
123.3,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_360s,0.8,360.0,6.0
123.3,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_390s,0.0,390.0,6.5
123.3,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_420s,0.0,420.0,7.0
123.3,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_450s,0.0,450.0,7.5
128.4,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_030s,2.533333333333333,30.0,0.5
128.4,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_060s,1.3333333333333337,60.0,1.0
128.4,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_090s,0.0,90.0,1.5
128.4,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_120s,0.4,120.0,2.0
128.4,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_150s,6.933333333333333,150.0,2.5
128.4,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_180s,0.4,180.0,3.0
128.4,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_210s,0.1333333333333333,210.0,3.5
128.4,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_240s,0.0,240.0,4.0
128.4,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_270s,0.0,270.0,4.5
128.4,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_300s,18.666666666666664,300.0,5.0
128.4,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_330s,0.0,330.0,5.5
128.4,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_360s,0.0,360.0,6.0
128.4,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_390s,0.0,390.0,6.5
128.4,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_420s,0.0,420.0,7.0
128.4,ELS,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_450s,0.0,450.0,7.5
128.4,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_030s,2.0,30.0,0.5
128.4,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_060s,6.666666666666667,60.0,1.0
128.4,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_090s,21.999999999999996,90.0,1.5
128.4,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_120s,17.733333333333334,120.0,2.0
128.4,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_150s,1.0666666666666669,150.0,2.5
128.4,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_180s,1.7333333333333332,180.0,3.0
128.4,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_210s,1.4666666666666666,210.0,3.5
128.4,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_240s,13.466666666666663,240.0,4.0
128.4,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_270s,0.0,270.0,4.5
128.4,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_300s,1.0666666666666669,300.0,5.0
128.4,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_330s,0.8,330.0,5.5
128.4,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_360s,8.133333333333333,360.0,6.0
128.4,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_390s,6.266666666666667,390.0,6.5
128.4,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_420s,26.666666666666668,420.0,7.0
128.4,ELS,"Sanguino-Gomez et al., 2024",3,Mix behaviors,t_450s,6.533333333333332,450.0,7.5
129.1,Control,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_030s,8.133333333333333,30.0,0.5
129.1,Control,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_060s,0.9333333333333336,60.0,1.0
129.1,Control,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_090s,0.0,90.0,1.5
129.1,Control,"Sanguino-Gomez et al., 2024",3,Inaccurate tracking,t_120s,0.0,120.0,2.0
