cluster,analysis,parameter,coef,std_err,z,p_value,ci_low,ci_high,aic,bic,log_likelihood,n_observations,n_animals
Groom,Exp3,time_bin_numeric,1.4880952380952449e-05,5.376289019881438e-05,0.2767885492376415,0.7819424741828395,-9.049237611350521e-05,0.00012025428087541009,-749.410873727305,-724.3681571038934,380.7054368636525,480,32
Groom,Exp3,group[T.ELS]:time_bin_numeric,-4.66269841269842e-05,7.603220847153887e-05,-0.6132530550449298,0.5397090288463666,-0.00019564737439624157,0.00010239340614227318,-749.410873727305,-724.3681571038934,380.7054368636525,480,32
Groom,Exp3,Group Var,0.034693077138389865,0.02753055239840994,1.260166401179571,0.20760934058668934,-0.01926581403698642,0.08865196831376615,-749.410873727305,-724.3681571038934,380.7054368636525,480,32
Groom,Combined,Intercept,0.049647696476965535,0.02117186841604168,2.34498417906981,0.019027886986600986,0.008151596896102759,0.09114379605782831,162.5448276651532,198.34821380371847,-74.2724138325766,1230,82
Groom,Combined,group[T.ELS],0.002357723577234967,0.029941543454744604,0.07874422308250634,0.9372360697309932,-0.056326623235605444,0.06104207039007538,162.5448276651532,198.34821380371847,-74.2724138325766,1230,82
Groom,Combined,time_bin_numeric,-2.787456445993303e-05,7.856593916345373e-05,-0.35479197164487475,0.7227454433291836,-0.00018186097563186728,0.00012611184671200123,162.5448276651532,198.34821380371847,-74.2724138325766,1230,82
Groom,Combined,group[T.ELS]:time_bin_numeric,1.974448315912014e-05,0.00011110901670553539,0.17770369808462613,0.8589556808253109,-0.00019802518794138842,0.0002375141542596287,162.5448276651532,198.34821380371847,-74.2724138325766,1230,82
Groom,Combined,Group Var,0.02325181674037991,741455.2001894655,3.135970552831557e-08,0.9999999749785752,-1453225.4652694718,1453225.511773105,162.5448276651532,198.34821380371847,-74.2724138325766,1230,82
Groom,Combined,experiment Var,0.023251816740379842,741455.2001894653,3.1359705528315486e-08,0.9999999749785752,-1453225.4652694713,1453225.5117731045,162.5448276651532,198.34821380371847,-74.2724138325766,1230,82
Turn,Exp1,Intercept,46.80000000000001,1.851230886391076,25.28047708367449,5.2375556427042746e-141,43.171654135605344,50.42834586439468,6301.782253281816,6329.502692520999,-3144.891126640908,750,50
