Animal,group,Experiment,cluster,bout_duration
161.3,Control,3,Turn,1.683673469387755
2.4,ELS,1,Climbing,0.8333333333333334
2.4,ELS,1,Freezing,0.8916666666666667
2.4,ELS,1,Grooming,0.30357142857142855
2.4,ELS,1,Jump,0.5
2.4,ELS,1,Locomotion,0.3629032258064516
2.4,ELS,1,Sniffing,0.7205882352941176
2.4,ELS,1,Turn,1.1318407960199004
23.4,ELS,1,Climbing,0.7763157894736842
23.4,ELS,1,Freezing,0.6951754385964912
23.4,ELS,1,Grooming,0.25
23.4,ELS,1,Jump,0.3888888888888889
23.4,ELS,1,Locomotion,0.4425287356321839
23.4,ELS,1,Sniffing,0.96875
23.4,ELS,1,Turn,1.1222707423580787
25.1,ELS,1,Freezing,0.9177215189873418
25.1,ELS,1,Grooming,0.25
25.1,ELS,1,Jump,0.45588235294117646
25.1,ELS,1,Locomotion,0.37264150943396224
25.1,ELS,1,Sniffing,1.0
25.1,ELS,1,Turn,1.587719298245614
26.4,ELS,1,Climbing,0.6911764705882353
26.4,ELS,1,Freezing,1.4510309278350515
26.4,ELS,1,Jump,0.375
26.4,ELS,1,Locomotion,0.5294117647058824
26.4,ELS,1,Sniffing,0.9375
26.4,ELS,1,Turn,1.8045112781954886
32.2,ELS,1,Climbing,0.95
32.2,ELS,1,Freezing,0.8297101449275363
32.2,ELS,1,Grooming,0.29347826086956524
32.2,ELS,1,Jump,0.6730769230769231
32.2,ELS,1,Locomotion,0.35625
32.2,ELS,1,Sniffing,1.0568181818181819
32.2,ELS,1,Turn,1.7203947368421053
32.4,ELS,1,Climbing,0.8888888888888888
32.4,ELS,1,Freezing,0.889344262295082
32.4,ELS,1,Grooming,0.2916666666666667
32.4,ELS,1,Jump,0.45
32.4,ELS,1,Locomotion,0.36428571428571427
32.4,ELS,1,Sniffing,0.65
32.4,ELS,1,Turn,1.669407894736842
34.4,Control,1,Climbing,0.9
34.4,Control,1,Freezing,0.7405660377358491
34.4,Control,1,Grooming,0.25
34.4,Control,1,Jump,0.75
34.4,Control,1,Locomotion,0.5686274509803921
34.4,Control,1,Sniffing,1.1875
34.4,Control,1,Turn,1.5903614457831325
34.5,Control,1,Climbing,0.75
34.5,Control,1,Freezing,0.8575581395348837
34.5,Control,1,Grooming,0.25
34.5,Control,1,Jump,0.6333333333333333
34.5,Control,1,Locomotion,0.5784313725490197
34.5,Control,1,Sniffing,0.875
