section,parameter,coef,se,z,p_value,ci_low,ci_high
Locomotion - Combined full dataset,Control - ELS vulnerable x time (per minute),-0.38899835796387,0.1412173292095468,-2.754607810112672,0.005876252662554993,-0.6657792372075179,-0.11221747872022207
Locomotion - Combined full dataset,ELS resilient - ELS vulnerable x time (per minute),-0.20741105637656831,0.1997708913031296,-1.0382446362610738,0.2991561765816263,-0.5989548084901682,0.18413269573703162
Locomotion - Combined full dataset,ELS resilient - Control,-1.063398075951964,1.2407147445294495,-0.8570850637833483,0.39139787515253444,-3.4951542903174992,1.3683581384135712
Locomotion - Combined full dataset,ELS resilient - Control x time (per minute),0.18158730158730169,0.1910228341629177,0.9506052110630463,0.3418048223195215,-0.1928105735967845,0.5559851767713879
Locomotion - Sanguino-Gomez & Krugers,Intercept,11.388304093567173,0.9251872569539021,12.309188229701915,8.083209619305108e-35,9.57497039098212,13.201637796152227
Locomotion - Sanguino-Gomez & Krugers,Control - ELS vulnerable,1.7827181286550362,1.2273995968536904,1.4524349960883534,0.14638069144437965,-0.6229408758171788,4.1883771331272515
Locomotion - Sanguino-Gomez & Krugers,ELS resilient - ELS vulnerable,-1.2088596491227395,1.8885305800519097,-0.6401059436853344,0.5221037251324115,-4.910311569727019,2.492592271481541
Locomotion - Sanguino-Gomez & Krugers,Time (per minute),-1.5007518796992392,0.139986297569067,-10.72070556733449,8.13801403841574e-27,-1.7751199812637173,-1.226383778134761
Locomotion - Sanguino-Gomez & Krugers,Control - ELS vulnerable x time (per minute),-0.35905764411028374,0.18571280993105432,-1.9334026782728855,0.05318661158630947,-0.7230480630428827,0.004932774822315224
Locomotion - Sanguino-Gomez & Krugers,ELS resilient - ELS vulnerable x time (per minute),0.029799498746858152,0.2857458333546866,0.10428673061303766,0.9169418079293906,-0.5302520433607116,0.589851040854428
Locomotion - Sanguino-Gomez & Krugers,ELS resilient - Control,-2.991577777777776,1.8333342851995194,-1.631768849755737,0.10272818980044301,-6.584846948391318,0.6016913928357659
Locomotion - Sanguino-Gomez & Krugers,ELS resilient - Control x time (per minute),0.3888571428571419,0.2773943078685313,1.4018209163882247,0.16096873082572405,-0.15482571008159518,0.932539995795879
Locomotion - Sanguino-Gomez et al.,Intercept,2.96377777777778,0.9938696951000295,2.9820587068805695,0.002863170893979541,1.0158289700559173,4.911726585499642
Locomotion - Sanguino-Gomez et al.,Control - ELS vulnerable,3.3976805555555636,1.2669402423208902,2.6818001686736226,0.007322718711097857,0.9145233100421701,5.880837801068957
Locomotion - Sanguino-Gomez et al.,ELS resilient - ELS vulnerable,4.9952962962963054,1.6229824158737112,3.0778499184214225,0.0020849989266200374,1.8143092136420234,8.176283378950588
Locomotion - Sanguino-Gomez et al.,Time (per minute),-0.35942857142857204,0.15736465509544073,-2.2840489257932837,0.022368655723827777,-0.6678576278552034,-0.050999515001940686
Locomotion - Sanguino-Gomez et al.,Control - ELS vulnerable x time (per minute),-0.5686071428571429,0.2006013617703626,-2.8345128758799407,0.004589560840156069,-0.9617785871767438,-0.17543569853754212
Locomotion - Sanguino-Gomez et al.,ELS resilient - ELS vulnerable x time (per minute),-0.7988253968253969,0.2569754056885964,-3.1085675093491862,0.0018799669090597791,-1.3024879368876152,-0.2951628567631786
Locomotion - Sanguino-Gomez et al.,ELS resilient - Control,1.5976157407407419,1.5045449671481848,1.0618597487112464,0.2882993605012629,-1.3512382079906988,4.5464696894721826
Locomotion - Sanguino-Gomez et al.,ELS resilient - Control x time (per minute),-0.23021825396825396,0.23822257686107032,-0.9663998139962846,0.33384415711782867,-0.6971259249202766,0.23668941698376872
Climb - Combined full dataset,Intercept,6.949261310959991,0.6018303524129215,11.546877426667303,7.655144091324674e-31,5.769695495427617,8.128827126492366
Climb - Combined full dataset,Control - ELS vulnerable,0.45258021602347215,0.7509574703701892,0.6026709019891231,0.5467276426210976,-1.0192693798234034,1.9244298118703478
Climb - Combined full dataset,ELS resilient - ELS vulnerable,-0.013128706364288053,1.0648717490564137,-0.012328908505574913,0.990163203454582,-2.1002389826690333,2.0739815699404573
Climb - Combined full dataset,Sanguino-Gomez et al. - Sanguino-Gomez & Krugers,-1.2820800240062185,0.5205570267275262,-2.4629002360528967,0.013781825759197805,-2.3023530482914243,-0.2618069997210126
Climb - Combined full dataset,Time (per minute),-0.79339901477833,0.11049571361053633,-7.180360114011475,6.952803668034383e-13,-1.0099666339010334,-0.5768313956556265
Climb - Combined full dataset,Control - ELS vulnerable x time (per minute),-0.1466706716328199,0.14437849907837638,-1.0158761350829613,0.30968837461590726,-0.429647329968387,0.13630598670274718
Climb - Combined full dataset,ELS resilient - ELS vulnerable x time (per minute),-0.025727969348653807,0.204242790933235,-0.12596757629043578,0.8997575904590187,-0.42603648367973823,0.37458054498243065
Climb - Combined full dataset,ELS resilient - Control,-0.4657089223877602,1.0169131114698442,-0.4579633374129924,0.6469787813508989,-2.45882199627522,1.5274041514996999
Climb - Combined full dataset,ELS resilient - Control x time (per minute),0.1209427022841661,0.1952989072978099,0.6192697335461352,0.5357386797601835,-0.26183612223956804,0.5037215268079003
Climb - Sanguino-Gomez & Krugers,Intercept,7.447894736842125,0.7494319876813695,9.93805289774833,2.8433025759770317e-23,5.979035032124375,8.916754441559874
Climb - Sanguino-Gomez & Krugers,Control - ELS vulnerable,0.4076163742689946,0.9942338836117407,0.4099803687923528,0.6818203483365517,-1.541046229819405,2.3562789783573943
Climb - Sanguino-Gomez & Krugers,ELS resilient - ELS vulnerable,-0.4619688109161992,1.5297716389492686,-0.30198547231108613,0.7626631376730835,-3.460266127827577,2.5363285059951783
Climb - Sanguino-Gomez & Krugers,Time (per minute),-0.9185463659147864,0.1459023841974773,-6.295622727258136,3.0616820834167625e-10,-1.204509784200368,-0.632582947629205
Climb - Sanguino-Gomez & Krugers,Control - ELS vulnerable x time (per minute),-0.1429012531328338,0.1935613857605244,-0.738273558909277,0.46034823071416286,-0.5222745980211256,0.23647209175545805
Climb - Sanguino-Gomez & Krugers,ELS resilient - ELS vulnerable x time (per minute),-0.003993316624896059,0.2978219946161091,-0.013408400645638753,0.9893019646988296,-0.5877136998763518,0.5797270666265596
Climb - Sanguino-Gomez & Krugers,ELS resilient - Control,-0.8695851851851938,1.4850608318635028,-0.5855552624696255,0.5581744196680882,-3.780250930488752,2.0410805601183646
Climb - Sanguino-Gomez & Krugers,ELS resilient - Control x time (per minute),0.13890793650793773,0.2891175178117641,0.4804549290519871,0.6309039442077045,-0.4277519857027374,0.7055678587186129
Climb - Sanguino-Gomez et al.,Intercept,4.719777777777772,0.880379904343132,5.3610694138904575,8.273071801087913e-08,2.994264872552415,6.445290683003128
