animal_id,animal,group,project,experiment,t_030s,t_060s,t_090s,t_120s,t_150s,t_180s,t_210s,t_240s,t_270s,t_300s,t_330s,t_360s,t_390s,t_420s,t_450s
152.5,Animal_152_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez et al., 2024",3,0,4.2666666666666666,12.66666666666667,2.4,18.266666666666669,17.600000000000001,25.466666666666669,37.066666666666663,64.400000000000006,55.066666666666663,54.400000000000013,61.866666666666667,65.333333333333329,54,68
153.4,Animal_153_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez et al., 2024",3,0,12.133333333333329,1.2,12.8,24.8,28.266666666666669,28.4,24.533333333333331,22.666666666666661,37.066666666666663,52.133333333333333,46.533333333333331,59.06666666666667,38.4,31.333333333333339
154.4,Animal_154_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez et al., 2024",3,0.8,0,0.8,14.133333333333329,4.3999999999999986,12.266666666666669,22.133333333333329,56.933333333333337,24.8,29.333333333333329,47.599999999999987,12.53333333333333,62.93333333333333,41.466666666666669,51.333333333333329
157.1,Animal_157_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez et al., 2024",3,0,0,1.2,0,9.6,12.8,12.53333333333333,24.8,16.93333333333333,21.333333333333339,33.6,33.6,27.2,38.93333333333333,49.866666666666667
157.4,Animal_157_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez et al., 2024",3,0,0,2.8,0,2,10.266666666666669,3.333333333333333,22.266666666666669,24.133333333333329,14.8,49.6,61.333333333333329,44.4,20.533333333333331,33.333333333333329
158.5,Animal_158_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez et al., 2024",3,0,0,9.1999999999999993,5.2,27.2,3.4666666666666659,7.6,27.2,49.466666666666661,34.93333333333333,50.266666666666673,49.866666666666667,61.866666666666667,48.4,68.13333333333334
159.3,Animal_159_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez et al., 2024",3,0,0,15.46666666666667,8.9333333333333336,3.333333333333333,3.8666666666666671,7.4666666666666677,19.2,11.6,2.8,17.2,9.8666666666666671,19.333333333333329,13.46666666666667,48.533333333333331
159.4,Animal_159_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez et al., 2024",3,0,4.2666666666666666,3.4666666666666659,5.6000000000000014,14.66666666666667,15.6,37.6,35.466666666666669,38.533333333333339,46.8,47.733333333333327,68.933333333333337,47.2,58.4,76.666666666666671
159.5,Animal_159_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez et al., 2024",3,2.666666666666667,0,8.2666666666666657,0,2.9333333333333331,12,4.2666666666666666,9.4666666666666668,7.1999999999999993,6.666666666666667,24,20.93333333333333,14,11.46666666666667,18.133333333333329
161.1,Animal_161_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez et al., 2024",3,0,2.2666666666666671,14.66666666666667,5.0666666666666664,13.733333333333331,24.133333333333329,21.866666666666671,60.266666666666673,62.266666666666673,60.533333333333331,47.333333333333343,72,75.2,31.733333333333331,47.466666666666669
161.3,Animal_161_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez et al., 2024",3,0,0,3.7333333333333338,1.6,11.866666666666671,10.266666666666669,17.2,37.200000000000003,38.533333333333339,44.133333333333333,29.333333333333329,39.6,67.466666666666669,53.86666666666666,70.533333333333331
