animal_id,animal,group,project,experiment,selected_syllables,freezing_frames,syllable_0_28_frames,overlap_frames,percent_freezing_covered_by_syllable_0_28,precision_syllable_0_28_vs_freezing
32.4,Animal 32_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,1680,1174,925,55.05952380952381,78.790459965928449
43.3,Animal_43_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,1840,1701,1435,77.989130434782609,84.362139917695472
43.5,Animal_43_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,1818,1865,1521,83.663366336633658,81.554959785522783
49.5,Animal_49_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,1053,781,635,60.30389363722697,81.306017925736242
49.6,Animal_49_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,4264,4270,3794,88.977485928705434,88.852459016393453
55.3,Animal_55_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,1992,1500,1226,61.546184738955823,81.733333333333334
55.5,Animal_55_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,738,691,451,61.111111111111107,65.267727930535457
56.3,Animal_56_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,2279,2326,1967,86.309784993418177,84.565778159931213
63.3,Animal_63_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,2081,2178,1800,86.496876501681882,82.644628099173559
69.1,Animal_69_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,1823,1841,1446,79.319802523313214,78.54426941879413
69.2,Animal_69_2DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,764,846,478,62.565445026178011,56.501182033096931
69.3,Animal_69_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,1208,1289,922,76.324503311258269,71.528316524437557
69.5,Animal_69_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,1703,1841,1328,77.980035231943631,72.134709397066814
73.1,Animal_73_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,1623,1760,1345,82.871226124460875,76.420454545454547
73.4,Animal_73_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,1292,1596,1051,81.346749226006182,65.852130325814542
75.1,Animal_75_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,814,1009,683,83.906633906633914,67.69078295341923
88.2,Animal_88_2DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,1357,1521,1092,80.471628592483427,71.794871794871796
88.3,Animal_88_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,ELS,"Sanguino-Gomez and Krugers, 2024",1,0 + 28,1420,1410,1125,79.225352112676063,79.787234042553195
129.1,Animal_129_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez et al., 2024",3,0 + 28,3083,3680,2741,88.906908855011352,74.483695652173907
129.4,Animal_129_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez et al., 2024",3,0 + 28,3846,4047,3509,91.237649505980229,86.706202125030885
136.2,Animal_136_2DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez et al., 2024",3,0 + 28,2374,2698,2111,88.921651221566975,78.243143068939958
136.3,Animal_136_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez et al., 2024",3,0 + 28,2420,2326,1865,77.066115702479337,80.18056749785039
136.5,Animal_136_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez et al., 2024",3,0 + 28,3609,3843,3195,88.528678304239406,83.138173302107731
137.3,Animal_137_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez et al., 2024",3,0 + 28,870,945,672,77.241379310344826,71.111111111111114
145.5,Animal_145_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez et al., 2024",3,0 + 28,2610,2846,2411,92.375478927203076,84.715390021082214
146.6,Animal_146_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez et al., 2024",3,0 + 28,4664,4640,4254,91.20926243567753,91.681034482758619
147.4,Animal_147_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez et al., 2024",3,0 + 28,3320,3124,2887,86.9578313253012,92.413572343149809
152.3,Animal_152_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez et al., 2024",3,0 + 28,2533,2443,2115,83.497828661666006,86.573884568153915
152.5,Animal_152_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez et al., 2024",3,0 + 28,3922,4056,3603,91.86639469658337,88.831360946745562
157.1,Animal_157_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,Control,"Sanguino-Gomez et al., 2024",3,0 + 28,2275,2118,1759,77.318681318681314,83.050047214353157
