animal_id,group,experiment,Unmapped_or_excluded,Climbing,Freezing,Grooming,Jump,Locomotion,Sniffing,Turn
55.3,ELS,1,0.31382042253521131,4.9295774647887321E-2,0.12367957746478871,8.8028169014084509E-4,1.3644366197183099E-2,0.116637323943662,1.1003521126760561E-2,0.37103873239436619
55.5,ELS,1,0.31367169638774578,3.6122542295381803E-2,6.1728395061728392E-2,4.5724737082761773E-4,6.8587105624142658E-3,0.11751257430269781,1.9661636945587559E-2,0.44398719707361678
56.3,ELS,1,0.15398886827458261,5.2411873840445267E-2,0.19758812615955471,,5.5658627087198506E-3,9.8794063079777367E-2,2.3654916512059369E-2,0.46799628942486088
58.5,Control,1,0.28489399293286222,4.6378091872791523E-2,0.15415194346289751,4.4169611307420489E-4,1.015901060070671E-2,0.12720848056537101,7.5088339222614837E-3,0.36925795053003541
62.1,Control,1,0.34673815907059868,7.5067024128686322E-2,0.1018766756032172,2.6809651474530832E-3,1.519213583556747E-2,0.10277033065236819,1.3404825737265419E-2,0.34226988382484358
62.2,Control,1,0.17677974199713331,2.866698518872432E-2,0.24080267558528429,4.7778308647873857E-4,5.733397037744864E-3,3.9655996177735311E-2,1.194457716196847E-2,0.49593884376493069
62.3,Control,1,0.1741339491916859,5.1732101616628168E-2,0.26096997690531182,9.2378752886836026E-4,1.2009237875288681E-2,9.0069284064665134E-2,3.2332563510392609E-3,0.40692840646651268
62.4,Control,1,0.23069810448451231,5.6865464632454933E-2,0.22792417938049009,4.6232085067036521E-4,1.1095700416088769E-2,9.7549699491447067E-2,4.160887656033287E-3,0.37124364308830332
62.5,Control,1,0.2364305427782889,6.1637534498620063E-2,0.10257589696412139,,1.149954001839926E-2,0.1485740570377185,7.8196872125115002E-3,0.43146274149034042
63.3,ELS,1,0.21448999046711151,3.5748331744518587E-2,0.18112488083889419,,8.1029551954242135E-3,8.9609151572926593E-2,1.429933269780744E-2,0.45662535748331751
68.1,Control,1,0.24400564174894221,4.6544428772919602E-2,0.1857075693464974,,5.171603196991067E-3,4.6074283027738597E-2,9.4029149036201215E-3,0.46309355900329102
69.1,ELS,1,0.2142857142857143,1.1671335200746971E-2,0.1596638655462185,,1.1671335200746971E-2,8.309990662931839E-2,2.4276377217553689E-2,0.49533146591970117
69.2,ELS,1,0.28267898383371831,8.2217090069284071E-2,7.3441108545034647E-2,1.38568129330254E-3,1.293302540415704E-2,0.13441108545034641,2.7713625866050808E-3,0.41016166281755201
69.3,ELS,1,0.23120567375886519,1.3711583924349881E-2,0.1148936170212766,9.4562647754137111E-4,1.1820330969267139E-2,7.9905437352245867E-2,2.0330969267139481E-2,0.5271867612293144
69.5,ELS,1,0.1996215704824976,4.4938505203405872E-2,0.15468306527909181,9.4607379375591296E-4,5.6764427625354778E-3,8.2781456953642391E-2,1.1825922421948911E-2,0.49952696310312211
73.1,ELS,1,0.1230237154150198,3.1126482213438739E-2,0.158102766798419,,2.964426877470356E-3,3.1620553359683792E-2,0.12104743083003951,0.53211462450592883
73.4,ELS,1,0.13443740867023871,6.4296151972722843E-2,0.1407696054554311,9.7418412079883102E-4,1.55869459327813E-2,2.3380418899171938E-2,0.13248904042864099,0.4880662445202143
74.1,Control,1,0.14196040560115891,3.5248672139063263E-2,0.17479478512795751,,8.2085948816996625E-3,2.0762916465475619E-2,9.8020280057943027E-2,0.52100434572670207
75.1,ELS,1,0.22056770590972549,0.1093531875290833,8.9343880874825504E-2,4.6533271288971622E-4,7.4453234062354587E-3,0.1005118659841787,4.60679385760819E-2,0.42624476500698
80.3,Control,1,0.2089478859390364,4.8180924287118967E-2,6.4405113077679446E-2,,1.0324483775811209E-2,4.6705998033431659E-2,3.9331366764995081E-2,0.58210422812192719
88.2,ELS,1,0.21235154394299291,8.6935866983372925E-2,0.1382422802850356,,3.8004750593824228E-3,4.8931116389548703E-2,4.3230403800475062E-2,0.46650831353919242
88.3,ELS,1,0.16338028169014079,4.1784037558685448E-2,0.1230046948356807,1.408450704225352E-3,1.07981220657277E-2,9.6244131455399062E-2,2.3474178403755871E-2,0.539906103286385
