animal_id,group,experiment,cluster,frequency_seconds
34.5,Control,1,Locomotion,64.64000000000001
34.5,Control,1,Sniff,1.72
34.5,Control,1,Turn,192.72000000000003
40.4,Control,1,Climb,19.880000000000006
40.4,Control,1,Freeze,59.519999999999996
40.4,Control,1,Groom,0.6799999999999998
40.4,Control,1,Jump,2.4400000000000004
40.4,Control,1,Locomotion,47.12
40.4,Control,1,Sniff,1.6
40.4,Control,1,Turn,141.51999999999998
40.6,Control,1,Climb,19.119999999999997
40.6,Control,1,Freeze,66.72
40.6,Control,1,Groom,0.2
40.6,Control,1,Jump,3.2399999999999998
40.6,Control,1,Locomotion,43.68000000000001
40.6,Control,1,Sniff,10.439999999999998
40.6,Control,1,Turn,183.88
41.4,Control,1,Climb,3.920000000000001
41.4,Control,1,Freeze,113.32000000000001
41.4,Control,1,Groom,0.28
41.4,Control,1,Jump,2.3200000000000003
41.4,Control,1,Locomotion,32.44
41.4,Control,1,Sniff,7.8
41.4,Control,1,Turn,157.52
41.5,Control,1,Climb,8.64
41.5,Control,1,Freeze,94.07999999999998
41.5,Control,1,Groom,0.07999999999999999
41.5,Control,1,Jump,2.12
41.5,Control,1,Locomotion,33.839999999999996
41.5,Control,1,Sniff,7.2
41.5,Control,1,Turn,187.56
41.6,Control,1,Climb,21.880000000000003
41.6,Control,1,Freeze,94.07999999999998
41.6,Control,1,Groom,0.19999999999999998
41.6,Control,1,Jump,5.48
41.6,Control,1,Locomotion,28.759999999999998
41.6,Control,1,Sniff,3.96
41.6,Control,1,Turn,183.95999999999998
43.3,ELS,1,Climb,38.56
43.3,ELS,1,Freeze,68.03999999999999
43.3,ELS,1,Groom,0.19999999999999998
43.3,ELS,1,Jump,4.800000000000001
43.3,ELS,1,Locomotion,45.839999999999996
43.3,ELS,1,Sniff,8.6
43.3,ELS,1,Turn,172.31999999999996
43.5,ELS,1,Climb,29.159999999999997
43.5,ELS,1,Freeze,74.6
43.5,ELS,1,Jump,3.2
43.5,ELS,1,Locomotion,37.040000000000006
43.5,ELS,1,Sniff,5.6
43.5,ELS,1,Turn,185.15999999999997
47.5,Control,1,Climb,13.52
47.5,Control,1,Freeze,74.92
47.5,Control,1,Groom,0.24
47.5,Control,1,Jump,4.12
47.5,Control,1,Locomotion,31.32
47.5,Control,1,Sniff,11.759999999999998
47.5,Control,1,Turn,173.72
49.5,ELS,1,Climb,7.92
