animal_id,group,experiment,cluster,time_s,time_bin,pct
123.3,ELS,3,Climb,390,360,0.0
123.3,ELS,3,Climb,420,390,0.0
123.3,ELS,3,Climb,450,420,0.0
123.3,ELS,3,Jump,30,0,0.0
123.3,ELS,3,Jump,60,30,0.0
123.3,ELS,3,Jump,90,60,0.0
123.3,ELS,3,Jump,120,90,0.0
123.3,ELS,3,Jump,150,120,0.0
123.3,ELS,3,Jump,180,150,0.0
123.3,ELS,3,Jump,210,180,3.3333333333333335
123.3,ELS,3,Jump,240,210,0.0
123.3,ELS,3,Jump,270,240,0.0
123.3,ELS,3,Jump,300,270,3.0666666666666664
123.3,ELS,3,Jump,330,300,0.9333333333333336
123.3,ELS,3,Jump,360,330,0.0
123.3,ELS,3,Jump,390,360,1.4666666666666666
123.3,ELS,3,Jump,420,390,0.0
123.3,ELS,3,Jump,450,420,0.0
128.4,ELS,3,Freeze,30,0,0.0
128.4,ELS,3,Freeze,60,30,1.4666666666666666
128.4,ELS,3,Freeze,90,60,2.666666666666667
128.4,ELS,3,Freeze,120,90,0.0
128.4,ELS,3,Freeze,150,120,3.4666666666666663
128.4,ELS,3,Freeze,180,150,7.466666666666668
128.4,ELS,3,Freeze,210,180,15.733333333333333
128.4,ELS,3,Freeze,240,210,43.333333333333336
128.4,ELS,3,Freeze,270,240,29.33333333333333
128.4,ELS,3,Freeze,300,270,14.133333333333336
128.4,ELS,3,Freeze,330,300,57.73333333333333
128.4,ELS,3,Freeze,360,330,71.06666666666666
128.4,ELS,3,Freeze,390,360,63.6
128.4,ELS,3,Freeze,420,390,32.0
128.4,ELS,3,Freeze,450,420,53.86666666666666
128.4,ELS,3,Sniff,30,0,89.46666666666667
128.4,ELS,3,Sniff,60,30,23.066666666666663
128.4,ELS,3,Sniff,90,60,45.6
128.4,ELS,3,Sniff,120,90,51.6
128.4,ELS,3,Sniff,150,120,41.46666666666667
128.4,ELS,3,Sniff,180,150,68.4
128.4,ELS,3,Sniff,210,180,18.0
128.4,ELS,3,Sniff,240,210,0.0
128.4,ELS,3,Sniff,270,240,33.733333333333334
128.4,ELS,3,Sniff,300,270,25.2
128.4,ELS,3,Sniff,330,300,0.0
128.4,ELS,3,Sniff,360,330,0.0
128.4,ELS,3,Sniff,390,360,0.0
128.4,ELS,3,Sniff,420,390,5.466666666666667
128.4,ELS,3,Sniff,450,420,0.0
128.4,ELS,3,Groom,30,0,0.0
128.4,ELS,3,Groom,60,30,0.0
128.4,ELS,3,Groom,90,60,0.0
128.4,ELS,3,Groom,120,90,0.0
128.4,ELS,3,Groom,150,120,0.0
128.4,ELS,3,Groom,180,150,0.0
128.4,ELS,3,Groom,210,180,0.0
128.4,ELS,3,Groom,240,210,0.0
128.4,ELS,3,Groom,270,240,0.0
128.4,ELS,3,Groom,300,270,0.0
128.4,ELS,3,Groom,330,300,0.0
128.4,ELS,3,Groom,360,330,0.0
128.4,ELS,3,Groom,390,360,0.0
128.4,ELS,3,Groom,420,390,0.0
128.4,ELS,3,Groom,450,420,0.0
128.4,ELS,3,Turn,30,0,6.0
128.4,ELS,3,Turn,60,30,58.133333333333326
128.4,ELS,3,Turn,90,60,20.266666666666666
128.4,ELS,3,Turn,120,90,20.4
128.4,ELS,3,Turn,150,120,32.13333333333333
128.4,ELS,3,Turn,180,150,5.066666666666666
128.4,ELS,3,Turn,210,180,59.99999999999999
128.4,ELS,3,Turn,240,210,43.2
128.4,ELS,3,Turn,270,240,32.133333333333326
128.4,ELS,3,Turn,300,270,28.133333333333333
128.4,ELS,3,Turn,330,300,39.333333333333336
128.4,ELS,3,Turn,360,330,20.8
128.4,ELS,3,Turn,390,360,24.4
128.4,ELS,3,Turn,420,390,35.333333333333336
128.4,ELS,3,Turn,450,420,39.6
128.4,ELS,3,Locomotion,30,0,0.0
128.4,ELS,3,Locomotion,60,30,0.0
128.4,ELS,3,Locomotion,90,60,1.866666666666667
128.4,ELS,3,Locomotion,120,90,0.0
128.4,ELS,3,Locomotion,150,120,0.0
128.4,ELS,3,Locomotion,180,150,0.0
128.4,ELS,3,Locomotion,210,180,3.2
128.4,ELS,3,Locomotion,240,210,0.0
128.4,ELS,3,Locomotion,270,240,0.0
128.4,ELS,3,Locomotion,300,270,3.0666666666666664
128.4,ELS,3,Locomotion,330,300,0.0
128.4,ELS,3,Locomotion,360,330,0.0
128.4,ELS,3,Locomotion,390,360,4.133333333333333
128.4,ELS,3,Locomotion,420,390,0.0
128.4,ELS,3,Locomotion,450,420,0.0
128.4,ELS,3,Climb,30,0,0.0
128.4,ELS,3,Climb,60,30,9.333333333333334
128.4,ELS,3,Climb,90,60,7.6
128.4,ELS,3,Climb,120,90,9.866666666666667
128.4,ELS,3,Climb,150,120,14.933333333333335
128.4,ELS,3,Climb,180,150,16.933333333333334
128.4,ELS,3,Climb,210,180,0.0
128.4,ELS,3,Climb,240,210,0.0
128.4,ELS,3,Climb,270,240,4.8
128.4,ELS,3,Climb,300,270,4.666666666666667
128.4,ELS,3,Climb,330,300,0.0
128.4,ELS,3,Climb,360,330,0.0
128.4,ELS,3,Climb,390,360,0.0
128.4,ELS,3,Climb,420,390,0.0
128.4,ELS,3,Climb,450,420,0.0
128.4,ELS,3,Jump,30,0,0.0
128.4,ELS,3,Jump,60,30,0.0
128.4,ELS,3,Jump,90,60,0.0
128.4,ELS,3,Jump,120,90,0.0
128.4,ELS,3,Jump,150,120,0.0
128.4,ELS,3,Jump,180,150,0.0
128.4,ELS,3,Jump,210,180,1.4666666666666666
128.4,ELS,3,Jump,240,210,0.0
128.4,ELS,3,Jump,270,240,0.0
128.4,ELS,3,Jump,300,270,3.5999999999999996
128.4,ELS,3,Jump,330,300,2.1333333333333333
128.4,ELS,3,Jump,360,330,0.0
128.4,ELS,3,Jump,390,360,1.6
128.4,ELS,3,Jump,420,390,0.5333333333333333
128.4,ELS,3,Jump,450,420,0.0
129.1,Control,3,Freeze,30,0,0.0
129.1,Control,3,Freeze,60,30,0.0
129.1,Control,3,Freeze,90,60,13.066666666666665
129.1,Control,3,Freeze,120,90,2.666666666666667
129.1,Control,3,Freeze,150,120,8.533333333333333
129.1,Control,3,Freeze,180,150,2.666666666666667
129.1,Control,3,Freeze,210,180,28.8
129.1,Control,3,Freeze,240,210,27.200000000000003
129.1,Control,3,Freeze,270,240,54.53333333333333
129.1,Control,3,Freeze,300,270,12.8
129.1,Control,3,Freeze,330,300,36.4
129.1,Control,3,Freeze,360,330,70.93333333333334
129.1,Control,3,Freeze,390,360,84.53333333333333
129.1,Control,3,Freeze,420,390,68.53333333333333
129.1,Control,3,Freeze,450,420,78.4
129.1,Control,3,Sniff,30,0,2.533333333333333
129.1,Control,3,Sniff,60,30,21.2
129.1,Control,3,Sniff,90,60,52.666666666666664
129.1,Control,3,Sniff,120,90,82.26666666666667
129.1,Control,3,Sniff,150,120,57.73333333333333
129.1,Control,3,Sniff,180,150,84.66666666666667
129.1,Control,3,Sniff,210,180,0.0
129.1,Control,3,Sniff,240,210,8.4
129.1,Control,3,Sniff,270,240,0.0
129.1,Control,3,Sniff,300,270,1.0666666666666669
129.1,Control,3,Sniff,330,300,0.0
129.1,Control,3,Sniff,360,330,0.0
129.1,Control,3,Sniff,390,360,0.0
129.1,Control,3,Sniff,420,390,0.0
129.1,Control,3,Sniff,450,420,0.0
129.1,Control,3,Groom,30,0,0.0
129.1,Control,3,Groom,60,30,0.0
129.1,Control,3,Groom,90,60,0.0
129.1,Control,3,Groom,120,90,0.0
129.1,Control,3,Groom,150,120,0.0
129.1,Control,3,Groom,180,150,0.0
129.1,Control,3,Groom,210,180,0.0
129.1,Control,3,Groom,240,210,0.0
129.1,Control,3,Groom,270,240,0.0
129.1,Control,3,Groom,300,270,0.0
129.1,Control,3,Groom,330,300,0.0
129.1,Control,3,Groom,360,330,0.0
129.1,Control,3,Groom,390,360,0.0
129.1,Control,3,Groom,420,390,0.0
129.1,Control,3,Groom,450,420,0.0
129.1,Control,3,Turn,30,0,86.13333333333333
129.1,Control,3,Turn,60,30,72.93333333333334
129.1,Control,3,Turn,90,60,29.066666666666666
129.1,Control,3,Turn,120,90,14.000000000000002
129.1,Control,3,Turn,150,120,15.600000000000001
129.1,Control,3,Turn,180,150,0.2666666666666666
129.1,Control,3,Turn,210,180,62.53333333333333
129.1,Control,3,Turn,240,210,30.266666666666662
129.1,Control,3,Turn,270,240,0.0
129.1,Control,3,Turn,300,270,50.53333333333333
129.1,Control,3,Turn,330,300,19.466666666666665
129.1,Control,3,Turn,360,330,14.533333333333337
129.1,Control,3,Turn,390,360,11.066666666666666
129.1,Control,3,Turn,420,390,27.6
