animal_id,group,experiment,bin,time_s,pct_s0s28
41.5,Control,1,4,150,13.066666666666665
41.5,Control,1,5,180,0.0
41.5,Control,1,6,210,3.2
41.5,Control,1,7,240,14.000000000000002
41.5,Control,1,8,270,52.0
41.5,Control,1,9,300,21.333333333333332
41.5,Control,1,10,330,30.8
41.5,Control,1,11,360,31.999999999999996
41.5,Control,1,12,390,48.0
41.5,Control,1,13,420,36.8
41.5,Control,1,14,450,37.06666666666666
41.6,Control,1,0,30,1.4666666666666666
41.6,Control,1,1,60,0.0
41.6,Control,1,2,90,0.9333333333333336
41.6,Control,1,3,120,2.8000000000000003
41.6,Control,1,4,150,0.9333333333333336
41.6,Control,1,5,180,0.0
41.6,Control,1,6,210,1.4666666666666666
41.6,Control,1,7,240,10.933333333333334
41.6,Control,1,8,270,28.933333333333334
41.6,Control,1,9,300,9.866666666666667
41.6,Control,1,10,330,31.866666666666667
41.6,Control,1,11,360,52.66666666666666
41.6,Control,1,12,390,52.0
41.6,Control,1,13,420,42.0
41.6,Control,1,14,450,77.73333333333333
43.3,ELS,1,0,30,0.0
43.3,ELS,1,1,60,2.1333333333333333
43.3,ELS,1,2,90,0.0
43.3,ELS,1,3,120,2.533333333333333
43.3,ELS,1,4,150,3.733333333333334
43.3,ELS,1,5,180,0.0
43.3,ELS,1,6,210,2.2666666666666666
43.3,ELS,1,7,240,27.33333333333333
43.3,ELS,1,8,270,16.533333333333335
43.3,ELS,1,9,300,24.399999999999995
43.3,ELS,1,10,330,18.0
43.3,ELS,1,11,360,18.4
43.3,ELS,1,12,390,27.200000000000003
43.3,ELS,1,13,420,38.266666666666666
43.3,ELS,1,14,450,46.0
43.5,ELS,1,0,30,0.0
43.5,ELS,1,1,60,3.2
43.5,ELS,1,2,90,6.0
43.5,ELS,1,3,120,2.8000000000000003
43.5,ELS,1,4,150,0.0
43.5,ELS,1,5,180,5.2
43.5,ELS,1,6,210,4.8
43.5,ELS,1,7,240,26.8
43.5,ELS,1,8,270,25.466666666666665
43.5,ELS,1,9,300,5.066666666666666
43.5,ELS,1,10,330,23.6
43.5,ELS,1,11,360,34.0
43.5,ELS,1,12,390,35.06666666666667
43.5,ELS,1,13,420,53.73333333333333
43.5,ELS,1,14,450,22.933333333333334
47.5,Control,1,0,30,0.0
47.5,Control,1,1,60,2.1333333333333333
47.5,Control,1,2,90,13.2
47.5,Control,1,3,120,3.733333333333334
47.5,Control,1,4,150,3.333333333333333
47.5,Control,1,5,180,1.7333333333333332
47.5,Control,1,6,210,25.066666666666663
47.5,Control,1,7,240,35.6
47.5,Control,1,8,270,3.8666666666666663
47.5,Control,1,9,300,34.53333333333333
47.5,Control,1,10,330,13.866666666666664
47.5,Control,1,11,360,34.66666666666667
47.5,Control,1,12,390,34.13333333333333
47.5,Control,1,13,420,2.666666666666667
47.5,Control,1,14,450,41.2
49.5,ELS,1,0,30,0.0
49.5,ELS,1,1,60,3.8666666666666663
49.5,ELS,1,2,90,2.1333333333333333
49.5,ELS,1,3,120,0.0
49.5,ELS,1,4,150,0.0
49.5,ELS,1,5,180,0.0
49.5,ELS,1,6,210,0.0
