scorer,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000,DLC_resnet50_Freezing_07-2020Sep29shuffle1_500000
bodyparts,nose,nose,nose,H1R,H1R,H1R,H2R,H2R,H2R,H1L,H1L,H1L,H2L,H2L,H2L,B1R,B1R,B1R,B2R,B2R,B2R,B3R,B3R,B3R,B1L,B1L,B1L,B2L,B2L,B2L,B3L,B3L,B3L,tail,tail,tail,S2,S2,S2,S1,S1,S1
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
18,185.4233856201172,123.30775451660156,0.8904964923858643,189.38916015625,124.10589599609375,0.9491088390350342,194.00465393066406,125.38174438476562,0.9548869132995605,185.97064208984375,126.45283508300781,0.7177872657775879,186.45681762695312,132.6261444091797,0.7770696878433228,203.19300842285156,131.0413818359375,0.9306435585021973,222.56021118164062,138.57839965820312,0.7648016214370728,230.84043884277344,145.48623657226562,0.9489351511001587,189.58082580566406,143.11068725585938,0.8619920015335083,219.3651885986328,161.3788604736328,0.6498829126358032,227.0448455810547,154.97857666015625,0.8959465622901917,237.07101440429688,148.90359497070312,0.7991576194763184,218.05654907226562,150.38706970214844,0.7658696174621582,203.15972900390625,143.27597045898438,0.7410070896148682
19,185.4233856201172,123.30775451660156,0.89087975025177,189.38916015625,124.10589599609375,0.9486162066459656,194.00465393066406,125.39315032958984,0.9542715549468994,185.97064208984375,126.45283508300781,0.7176753878593445,186.4568634033203,132.6261444091797,0.7764832973480225,203.19300842285156,131.0413818359375,0.9311731457710266,222.56227111816406,138.5733184814453,0.7649115324020386,230.82476806640625,145.4682159423828,0.9479420185089111,189.58082580566406,143.11068725585938,0.8634153604507446,219.37918090820312,161.38636779785156,0.6547558903694153,227.0491485595703,154.98648071289062,0.8919187784194946,237.0849609375,148.9080352783203,0.7969039082527161,218.0647735595703,150.38706970214844,0.7644456624984741,203.1739044189453,143.27178955078125,0.7369116544723511
20,185.31658935546875,123.37455749511719,0.8887134790420532,189.39321899414062,124.1861801147461,0.9512158632278442,194.00958251953125,125.60124206542969,0.9522637128829956,185.9635467529297,126.67720794677734,0.6649284362792969,186.45692443847656,132.80194091796875,0.7671313285827637,203.19644165039062,131.0447998046875,0.9290896654129028,222.57122802734375,138.5605926513672,0.7591264247894287,230.81884765625,145.45982360839844,0.9528186321258545,189.5851287841797,143.11068725585938,0.8560951352119446,219.43568420410156,161.4109649658203,0.6517436504364014,227.13124084472656,155.0035400390625,0.9064244627952576,237.11703491210938,148.93858337402344,0.7912471294403076,218.08502197265625,150.38706970214844,0.7752484083175659,203.36460876464844,143.25169372558594,0.7381665110588074
21,185.31552124023438,123.37455749511719,0.8955649137496948,189.53814697265625,124.21698760986328,0.9493149518966675,194.2830352783203,125.64212799072266,0.9560035467147827,185.958251953125,126.67720794677734,0.6766448020935059,186.48146057128906,132.99664306640625,0.7913757562637329,203.59185791015625,131.0447998046875,0.9335508346557617,222.9644012451172,138.5605926513672,0.734832227230072,230.8139190673828,145.4347381591797,0.9535346031188965,189.77053833007812,143.39503479003906,0.8289266228675842,219.58624267578125,161.84400939941406,0.7484085559844971,227.3180389404297,155.11346435546875,0.8827036619186401,237.16746520996094,148.97409057617188,0.7747924327850342,218.14317321777344,150.35845947265625,0.8135061860084534,203.47450256347656,143.052490234375,0.7399476170539856
22,185.31552124023438,123.37455749511719,0.8947991728782654,189.53814697265625,124.21698760986328,0.9492705464363098,194.2830352783203,125.64212799072266,0.9561702609062195,185.95204162597656,126.67720794677734,0.6766008138656616,186.48146057128906,132.99664306640625,0.791547954082489,203.59185791015625,131.03945922851562,0.933478832244873,222.9644012451172,138.53794860839844,0.7333877682685852,230.8139190673828,145.42137145996094,0.9530913829803467,189.77053833007812,143.39503479003906,0.8283869624137878,219.5895233154297,161.85011291503906,0.749599814414978,227.32603454589844,155.14793395996094,0.8826488256454468,237.17047119140625,148.98512268066406,0.7727274894714355,218.14907836914062,150.34971618652344,0.8140460252761841,203.47450256347656,143.052490234375,0.7427484393119812
23,185.31552124023438,123.37455749511719,0.8932264447212219,189.53814697265625,124.2179946899414,0.948867678642273,194.2830352783203,125.64546203613281,0.9556735754013062,185.95204162597656,126.67720794677734,0.6755782961845398,186.48146057128906,132.99978637695312,0.7920010685920715,203.59185791015625,131.03945922851562,0.9332563877105713,222.9644012451172,138.53794860839844,0.7316029071807861,230.8139190673828,145.4064178466797,0.9528629779815674,189.77053833007812,143.39503479003906,0.8269357681274414,219.59547424316406,161.85011291503906,0.7541322112083435,227.34994506835938,155.1509552001953,0.8833522200584412,237.1768341064453,148.99566650390625,0.773583173751831,218.1707000732422,150.34561157226562,0.8149993419647217,203.47450256347656,143.052490234375,0.7452669143676758
24,185.30995178222656,123.37455749511719,0.8874348998069763,189.4514617919922,124.220458984375,0.9491389989852905,194.11956787109375,125.64546203613281,0.9510546922683716,185.8916015625,126.67720794677734,0.6736623048782349,186.3964080810547,132.99978637695312,0.7840000987052917,203.44924926757812,131.0283660888672,0.9339569807052612,222.98899841308594,138.5605926513672,0.7421292066574097,230.83657836914062,145.4180908203125,0.9546540975570679,189.77053833007812,143.37796020507812,0.8278724551200867,219.65704345703125,161.85011291503906,0.7649123668670654,227.36717224121094,155.14793395996094,0.8887883424758911,237.2383575439453,149.01132202148438,0.7836352586746216,218.1707000732422,150.34481811523438,0.8171230554580688,203.4641876220703,143.06814575195312,0.7391160130500793
25,185.0532989501953,123.37322235107422,0.8794221878051758,189.19174194335938,124.3653793334961,0.9540239572525024,194.0052032470703,125.74189758300781,0.9486948251724243,185.74049377441406,126.88341522216797,0.5952219367027283,186.33485412597656,133.09519958496094,0.7610173225402832,203.41050720214844,131.0283660888672,0.9329871535301208,222.96209716796875,138.55227661132812,0.7455719113349915,230.84242248535156,145.3641357421875,0.9538577795028687,189.7727813720703,143.3103485107422,0.8205032348632812,219.65704345703125,161.8466796875,0.7611141204833984,227.3702392578125,155.14793395996094,0.889946460723877,237.24606323242188,149.01132202148438,0.7780243754386902,218.1999053955078,150.32632446289062,0.8191357851028442,203.4503936767578,143.09376525878906,0.7414309978485107
26,184.8656768798828,123.41605377197266,0.8722696304321289,188.9949951171875,124.47356414794922,0.9599663019180298,193.9095001220703,125.79987335205078,0.9486985206604004,185.63937377929688,127.05943298339844,0.5490421652793884,186.2920684814453,133.17733764648438,0.7564047574996948,203.3525390625,131.0283660888672,0.9366168975830078,222.96209716796875,138.55227661132812,0.7517709732055664,230.85235595703125,145.3641357421875,0.953994870185852,189.80613708496094,143.30538940429688,0.8103017210960388,219.65704345703125,161.8111572265625,0.758377194404602,227.39500427246094,155.14793395996094,0.8939120769500732,237.24807739257812,149.02191162109375,0.7759484052658081,218.21592712402344,150.2681884765625,0.8234847784042358,203.39862060546875,143.11569213867188,0.7444932460784912
27,184.02340698242188,123.53839111328125,0.8685917854309082,188.91639709472656,124.56546783447266,0.9610936045646667,193.8223114013672,125.89451599121094,0.9403805732727051,185.568359375,127.08525085449219,0.506565511226654,186.21031188964844,133.3064727783203,0.7432965636253357,203.32119750976562,131.1215057373047,0.9378640055656433,222.9954376220703,138.56381225585938,0.7543340921401978,230.85458374023438,145.39120483398438,0.9563140273094177,189.90272521972656,143.30538940429688,0.8008920550346375,219.59051513671875,161.7554931640625,0.749813973903656,227.40872192382812,155.14195251464844,0.8977012038230896,237.24905395507812,149.02244567871094,0.7914987206459045,218.2786865234375,150.21481323242188,0.8291778564453125,203.3837432861328,143.22850036621094,0.7280673980712891
