Animal,group,Experiment,simpson,shannon,evenness,cui,Stress
62.2,Control,1,0.6622374903809914,1.3129314697268644,0.6313865734673352,0.4257047300525564,0
62.3,Control,1,0.7250370955096033,1.4689517581670934,0.70641647227093,0.3716705157813701,0
62.4,Control,1,0.7441168442743924,1.5096354505111087,0.7259811926675176,0.24117737709970719,0
62.5,Control,1,0.7213518634967573,1.481532774345184,0.761357236902448,0.1830726770929162,0
63.3,ELS,1,0.7031032323671098,1.4326225795187368,0.7362223688561552,0.2591039084842708,1
68.1,Control,1,0.6871139173971388,1.3690098083368385,0.7035318711922315,0.22219087917254357,0
69.1,ELS,1,0.6754684444583934,1.371896096421199,0.7050151298543859,0.28422035480859,1
69.2,ELS,1,0.721463552528415,1.4712862660750285,0.707539133264828,0.14272517321016168,1
69.3,ELS,1,0.6482906627768557,1.3236690784892318,0.6365502717714929,0.30874704491725796,1
69.5,ELS,1,0.6776519826824638,1.391166288194298,0.6690095683432735,0.3554083885209713,1
73.1,ELS,1,0.6600927213360621,1.3751843107098947,0.7067049377267031,0.4509881422924902,1
73.4,ELS,1,0.7014239553915729,1.4995288015300254,0.7211209218791795,0.4276668290306871,1
74.1,Control,1,0.6664995741472277,1.3871448461540956,0.7128514370653326,0.41902462578464506,0
75.1,ELS,1,0.7374442991978911,1.5674403589239803,0.7537794775696145,0.2177757096323873,1
80.3,Control,1,0.6071910268793346,1.2824650420973276,0.6590566592809692,0.2945919370698131,0
88.2,ELS,1,0.706330476582732,1.4752554366022967,0.7581313234418832,0.23002375296912095,1
88.3,ELS,1,0.6549996693777689,1.3907145524869775,0.6687923293883589,0.41971830985915526,1
