Animal,group,Experiment,lz,recurrence,determinism,markov
153.4,ELS,3,140,0.3584665732402825,0.8712707671424216,0.8629187369304935
154.4,ELS,3,171,0.32609900842654865,0.8429970917107894,1.001478607819502
157.1,Control,3,203,0.28777324861512144,0.7938995866698805,1.1318173817250112
157.4,Control,3,174,0.32642668155007454,0.836450400815558,1.0431353996568105
158.5,Control,3,176,0.3084079142011834,0.835118329159836,1.0251875750945212
159.3,ELS,3,138,0.301094072175358,0.8703534498900779,0.8677460141992216
159.4,ELS,3,151,0.29220799487020893,0.8240611542916766,0.9527220808701504
159.5,ELS,3,146,0.3352019843577057,0.8842972315181016,0.882775735236618
161.1,Control,3,149,0.35030421312043336,0.852203332606509,0.8946884910223718
161.3,Control,3,162,0.3309481930026913,0.86131378369063,0.9723610688461226
2.4,ELS,1,203,0.3073616913897563,0.7834059790432192,1.1655433040342267
23.4,ELS,1,208,0.3205006513329695,0.7667996966754171,1.2464842191484153
25.1,ELS,1,177,0.3603721017005234,0.8275811901862692,1.0460514918117876
26.4,ELS,1,162,0.3276876101381277,0.8578724626888645,0.9585477856284704
32.2,ELS,1,195,0.32808105162341744,0.8279848112949126,1.149889760111927
32.4,ELS,1,176,0.3650497798520349,0.8480581878882332,1.004138300322528
34.4,Control,1,196,0.32258406304417986,0.8307181383647106,1.1311244045348288
34.5,Control,1,229,0.2647005152604006,0.7542556697794868,1.3040841599794388
40.4,Control,1,241,0.29028188229853163,0.7725554144355163,1.2855138517181304
40.6,Control,1,241,0.27022670763926077,0.7652714337624741,1.290848810322117
41.4,Control,1,202,0.27405728861420425,0.7979394743407962,1.152851295013006
41.5,Control,1,225,0.28403853595168665,0.7495499748716934,1.2718339749760077
41.6,Control,1,202,0.274316112595828,0.8051873314498523,1.1735176630735902
43.3,ELS,1,255,0.24561836553908983,0.7385995081180124,1.3966896664709596
43.5,ELS,1,207,0.26927732289070844,0.7943846637751216,1.188035602241899
47.5,Control,1,228,0.2745299160825043,0.7670109630557974,1.2935162254470018
49.5,ELS,1,199,0.3152503824077053,0.8034966789199978,1.173410994274654
49.6,ELS,1,200,0.300448112307659,0.7841896521714552,1.1727606991701884
5.4,Control,1,179,0.3116716553287982,0.8267029639194038,1.0605768892882947
50.5,Control,1,188,0.2631827886622625,0.8070744304255478,1.1460956674521883
53.5,Control,1,233,0.2501970282494358,0.7620055082001964,1.3263624431426204
54.3,Control,1,227,0.2639644711327954,0.782071672165911,1.2430677822258012
54.4,Control,1,158,0.34357899973446776,0.8301438800947188,0.9842357890661144
54.6,Control,1,190,0.3296322074651496,0.8205373428299964,1.1052621147363193
55.3,ELS,1,254,0.2677919962557032,0.746365753521933,1.3901157511698627
55.5,ELS,1,222,0.3148728331711955,0.7956956857112458,1.2186076600189635
56.3,ELS,1,207,0.2948719713893316,0.7841897891718572,1.2155711753636838
58.5,Control,1,249,0.25977155102448524,0.7428707703464972,1.334433413509974
62.1,Control,1,247,0.2643693582534514,0.7410079779467945,1.4120114971996571
62.2,Control,1,188,0.3377625096190085,0.8053320212300833,1.1186486548118268
62.3,Control,1,225,0.2749629044903968,0.7614631196722025,1.3004018949107317
62.4,Control,1,219,0.25588315572560755,0.7818793911986905,1.2238616756494207
62.5,Control,1,227,0.2786481365032427,0.7740284789860616,1.2834834672728495
63.3,ELS,1,191,0.2968967676328902,0.8333440635720658,1.0914745517328173
68.1,Control,1,200,0.3128860826028612,0.78175122575898,1.2156354700203256
69.1,ELS,1,205,0.3245315555416066,0.8081556997219648,1.1596271804185236
69.2,ELS,1,208,0.278536447471585,0.7807569138513332,1.238536622852898
69.3,ELS,1,187,0.3517093372231444,0.8300383156394002,1.1042664406008824
69.5,ELS,1,198,0.3223480173175362,0.8172557002011877,1.1424337136721388
73.1,ELS,1,167,0.3399072786639379,0.8522631815148097,1.0023779757381144
73.4,ELS,1,170,0.29857604460842707,0.8470942097504911,1.0121928128786328
74.1,Control,1,172,0.33350042585277223,0.8392040752601297,1.0249463491537014
75.1,ELS,1,237,0.2625557008021089,0.7611398347304084,1.361150066784616
80.3,Control,1,153,0.3928089731206655,0.8624329822719549,0.9320262068900569
88.2,ELS,1,199,0.29366952341726804,0.7916879626094561,1.2297548971571355
88.3,ELS,1,205,0.34500033062223107,0.8087533635041091,1.2238515036264626
