Animal,Condition,Experiment,LZ_complexity,Recurrence_Rate,Determinism,MarkovEntropy
26.4,ELS,1,160,0.3276876101381277,0.843049156440706,0.9894640778731681
32.2,ELS,1,189,0.32808105162341744,0.8267244834207511,1.155024415370778
32.4,ELS,1,175,0.3650497798520349,0.8512896173248935,0.996433923767084
34.4,Control,1,190,0.32258406304417986,0.8328018530471919,1.1235028608152218
34.5,Control,1,223,0.2647005152604006,0.7537047790944048,1.2990885103582772
40.4,Control,1,237,0.29028188229853163,0.7613761544009242,1.3027446983780095
40.6,Control,1,232,0.27022670763926077,0.7574709226375488,1.296876619428363
41.4,Control,1,206,0.27405728861420425,0.7899188812550585,1.1770604951610695
41.5,Control,1,216,0.28403853595168665,0.7525303443339476,1.2554112682580527
41.6,Control,1,204,0.274316112595828,0.7896341659175549,1.203781680673568
43.3,ELS,1,247,0.24561836553908983,0.7345445845622217,1.4075491268852034
43.5,ELS,1,207,0.26927732289070844,0.7987567460186075,1.1726946359409653
47.5,Control,1,227,0.2745299160825043,0.7603108157369107,1.3062418452741027
49.5,ELS,1,204,0.3152503824077053,0.7968434922958387,1.1840399180985022
49.6,ELS,1,200,0.300448112307659,0.7917662775457863,1.1540503735963017
5.4,Control,1,171,0.3116716553287982,0.8212569186780261,1.0710512568414285
50.5,Control,1,189,0.2631827886622625,0.8115433523698855,1.138616380496778
53.5,Control,1,234,0.2501970282494358,0.7643588312546474,1.3165572670799859
54.3,Control,1,225,0.2639644711327954,0.7868492890545256,1.23250132919876
54.4,Control,1,155,0.34357899973446776,0.8387290142347795,0.969668707622742
54.6,Control,1,177,0.3296322074651496,0.8186315373358948,1.0906618059073985
55.3,ELS,1,251,0.2677919962557032,0.7412717942475215,1.3641268545127887
55.5,ELS,1,217,0.3148728331711955,0.8042072294924992,1.2020780174315768
56.3,ELS,1,201,0.2948719713893316,0.7763505949545052,1.241228639298227
58.5,Control,1,239,0.25977155102448524,0.743914971344657,1.3429490066444325
62.1,Control,1,233,0.2643693582534514,0.7382316585142228,1.417547173877721
62.2,Control,1,186,0.3377625096190085,0.7952854975140877,1.135355790452281
62.3,Control,1,221,0.2749629044903968,0.7692912125150002,1.2900751665418047
62.4,Control,1,226,0.25588315572560755,0.769153073964606,1.2465187271389269
62.5,Control,1,218,0.2786481365032427,0.7654720055004814,1.29940037835002
63.3,ELS,1,187,0.2968967676328902,0.8291684678138824,1.0973180436364782
68.1,Control,1,197,0.3128860826028612,0.7839713883445002,1.210568883163368
69.1,ELS,1,201,0.3245315555416066,0.8082283359181955,1.166627357299221
69.2,ELS,1,211,0.278536447471585,0.7735035652962488,1.2673013997679632
69.3,ELS,1,187,0.3517093372231444,0.8259661651264034,1.1100626972561758
69.5,ELS,1,197,0.3223480173175362,0.8168469291421786,1.160981790269589
73.1,ELS,1,162,0.3399072786639379,0.8564259165496767,0.9876093558229813
73.4,ELS,1,165,0.29857604460842707,0.845176012505691,1.0188964081305327
74.1,Control,1,167,0.33350042585277223,0.8348185218220491,1.0471364834856907
75.1,ELS,1,230,0.2625557008021089,0.756529735142343,1.3625368882673379
80.3,Control,1,146,0.3928089731206655,0.8712939242599554,0.899300538944191
88.2,ELS,1,197,0.29366952341726804,0.7904502321514342,1.239693430121952
88.3,ELS,1,203,0.34500033062223107,0.8164636728761143,1.1975584719812988
