predictor,kind,n_features,auc_kru_to_gom,ci_kru_lo,ci_kru_hi,auc_gom_to_kru,ci_gom_lo,ci_gom_hi,worst_direction_auc,cv_auc,cv_ci_low,cv_ci_high,cv_auc_repeat_mean,cv_auc_repeat_sd
All diversity indices,block,4,0.7833333333333333,0.5166666666666667,1.0,0.6666666666666666,0.3947368421052631,0.912280701754386,0.6666666666666666,0.8074712643678161,0.6637931034482759,0.9281609195402298,0.7948275862068966,0.0298283613391188
Lempel-Ziv complexity,single,1,0.175,0.0166666666666666,0.4166666666666667,0.4912280701754385,0.2105263157894736,0.7807017543859649,0.175,0.2672413793103448,0.1091954022988505,0.4426005747126433,0.3568965517241379,0.0608642804022273
Recurrence rate,single,1,0.75,0.4666666666666667,1.0,0.7280701754385965,0.4912280701754385,0.9212719298245602,0.7280701754385965,0.7040229885057471,0.514367816091954,0.8620689655172413,0.6997701149425288,0.0171236401326891
Determinism,single,1,0.8833333333333333,0.6666666666666666,1.0,0.5614035087719298,0.2543859649122807,0.8596491228070176,0.5614035087719298,0.5028735632183908,0.3017241379310345,0.6982758620689655,0.4963218390804597,0.0558839711568816
Markov entropy,single,1,0.2,0.0333333333333333,0.4666666666666667,0.4385964912280701,0.1578947368421052,0.7458333333333321,0.2,0.1580459770114942,0.0517241379310344,0.2959770114942529,0.3417241379310345,0.0732285174974284
All transition metrics,block,4,0.65,0.3666666666666666,0.9,0.5789473684210527,0.2807017543859649,0.8771929824561403,0.5789473684210527,0.7471264367816092,0.5833333333333334,0.8850574712643678,0.7390804597701149,0.0369115878697273
Mean bout duration,single,1,0.1666666666666666,0.0,0.4,0.4561403508771929,0.175219298245614,0.7631578947368421,0.1666666666666666,0.2701149425287356,0.1235632183908046,0.4367816091954023,0.3455172413793103,0.0665085570602814
Freeze bout duration,single,1,0.7,0.4,0.95,0.8421052631578947,0.6403508771929824,0.9824561403508772,0.7,0.7557471264367817,0.5862068965517241,0.896551724137931,0.7422988505747127,0.0216269440846762
Sniff bout duration,single,1,0.7166666666666667,0.4166666666666667,0.9333333333333332,0.6140350877192983,0.3682017543859649,0.8596491228070176,0.6140350877192983,0.5344827586206896,0.3477011494252873,0.7127155172413789,0.5166091954022989,0.0456693188313643
Groom bout duration,single,1,0.45,0.2,0.7166666666666667,0.4561403508771929,0.219298245614035,0.6973684210526315,0.45,0.3017241379310345,0.132183908045977,0.4942528735632184,0.3871264367816092,0.0730325669493069
Turn bout duration,single,1,0.7333333333333333,0.4666666666666667,0.9666666666666668,0.6491228070175439,0.3421052631578947,0.9298245614035088,0.6491228070175439,0.5977011494252874,0.4080459770114942,0.7816091954022989,0.595287356321839,0.0234285000372555
Locomotion bout duration,single,1,0.6416666666666667,0.3333333333333333,0.8916666666666667,0.5877192982456141,0.3157894736842105,0.8421052631578947,0.5877192982456141,0.5373563218390804,0.3333333333333333,0.7328304597701145,0.5229310344827586,0.0444657794527856
Climb bout duration,single,1,0.6166666666666667,0.3166666666666666,0.9,0.6052631578947368,0.2982456140350877,0.8947368421052632,0.6052631578947368,0.5201149425287356,0.2959770114942529,0.7443247126436777,0.4844827586206897,0.0727043201192493
Jump bout duration,single,1,0.4333333333333333,0.1666666666666666,0.7333333333333333,0.4473684210526316,0.1929824561403508,0.7105263157894737,0.4333333333333333,0.2097701149425287,0.0890804597701149,0.3563218390804598,0.3474137931034483,0.0556911206011795
All bout durations,block,8,0.75,0.4833333333333333,0.9833333333333332,0.5087719298245614,0.2456140350877192,0.7543859649122807,0.5087719298245614,0.75,0.5747126436781609,0.8908045977011494,0.7380459770114943,0.0514084127338184
