behavior,rank,parameter,parameter_label,mean_absolute_shap,mean_shap,sd_shap,sem_shap,minimum_shap,maximum_shap,n_frames,plotted_top_10
Jump,84,dist_B2L_S1_roll_sum,Summed distance Left body 2 - Center body,0.02732669748365879,-0.0039701745845377445,0.034633439034223557,0.0006743078610582432,-0.12225376069545746,0.05627819523215294,2638,False
Jump,85,S1_x_t-5,Center body x (lag 5),0.027211198583245277,-0.000856321188621223,0.03717407211661339,0.0007237736059364,-0.20455962419509888,0.0689542144536972,2638,False
Jump,86,H1L_y_roll_std,SD left head 1 y,0.026661090552806854,0.01839260756969452,0.03714025020599365,0.0007231150984117976,-0.06254792958498001,0.19354119896888733,2638,False
Jump,87,B1R_velocity_roll_mean,Mean right body 1 velocity,0.026473047211766243,-0.01955774798989296,0.02795366756618023,0.0005442537129119023,-0.3197617828845978,0.10760974138975143,2638,False
Jump,88,B2L_x_t-5,Left body 2 x (lag 5),0.026442723348736763,-0.004717349074780941,0.034030452370643616,0.0006625678011998084,-0.15726040303707123,0.10446429997682571,2638,False
Jump,89,H2R_y_roll_std,SD right head 2 y,0.026405440643429756,0.015456930734217167,0.028951454907655716,0.0005636804827269493,-0.06933867186307907,0.15656393766403198,2638,False
Jump,90,dist_B3L_tail,Distance Left body 3 - Tail,0.026304882019758224,-0.00648894626647234,0.032819438725709915,0.0006389895472522101,-0.08558530360460281,0.19902881979942322,2638,False
Jump,91,global_body_angular_velocity,Global body angular velocity,0.026059258729219437,-0.012016917578876019,0.03191979601979256,0.0006214736387643372,-0.08032909780740738,0.1844063401222229,2638,False
Jump,92,B2L_x_roll_std,SD left body 2 x,0.02591329999268055,-0.020753856748342514,0.030958503484725952,0.0006027574173538246,-0.22345587611198425,0.0950159877538681,2638,False
Jump,93,dist_H2L_S1_roll_mean,Mean distance Left head 2 - Center body,0.025669392198324203,-0.005796839017421007,0.04161269962787628,0.000810193017540208,-0.15307524800300598,0.38700979948043823,2638,False
Jump,94,dist_B2R_H1R_roll_sum,Summed distance Right body 2 - Right head 1,0.025650249794125557,-0.004437999799847603,0.04682375490665436,0.0009116514818705,-0.2487785369157791,0.03303276374936104,2638,False
Jump,95,dist_B2L_tail_roll_std,SD distance Left body 2 - Tail,0.025616660714149475,-0.000836178136523813,0.04277634993195534,0.0008328491143484964,-0.301880806684494,0.815629243850708,2638,False
