horizon_min,predictor,n_features,cv_auc,cv_lo,cv_hi,auc_kru_to_gom,auc_gom_to_kru
6.5,Diversity metrics,4,0.6979310344827586,0.6068965517241379,0.7620689655172413,0.7166666666666667,0.6228070175438597
6.5,Transition summaries,4,0.6667816091954022,0.610919540229885,0.7172413793103448,0.5,0.5964912280701754
6.5,Bout durations,8,0.6710344827586207,0.6,0.7373563218390805,0.5833333333333334,0.4912280701754385
6.5,All metrics,23,0.7459770114942529,0.6982758620689655,0.7954022988505747,0.65,0.6403508771929824
7.0,All behaviour time shares,7,0.7922988505747126,0.75,0.8367816091954023,0.75,0.6228070175438597
7.0,Diversity metrics,4,0.7648275862068966,0.6948275862068966,0.8132183908045977,0.7833333333333333,0.6666666666666666
7.0,Transition summaries,4,0.7193103448275862,0.6770114942528735,0.7666666666666666,0.5333333333333333,0.5964912280701754
7.0,Bout durations,8,0.6717241379310345,0.6080459770114942,0.7350574712643678,0.6833333333333333,0.4824561403508772
7.0,All metrics,23,0.8063218390804597,0.7540229885057471,0.85,0.7833333333333333,0.6052631578947368
7.5,All behaviour time shares,7,0.8265517241379311,0.7942528735632184,0.8597701149425288,0.8166666666666667,0.6140350877192983
7.5,Diversity metrics,4,0.7948275862068966,0.7540229885057471,0.8339080459770115,0.7833333333333333,0.6666666666666666
7.5,Transition summaries,4,0.7460919540229883,0.6982758620689655,0.7931034482758621,0.6666666666666666,0.5964912280701754
7.5,Bout durations,8,0.7321839080459769,0.6890804597701149,0.7804597701149426,0.7166666666666667,0.543859649122807
7.5,All metrics,23,0.8097701149425286,0.7551724137931034,0.8551724137931035,0.8333333333333334,0.6228070175438597
