recording,animal,group,mds1,mds2,group_ext,dynamics_score,resilient_by_zero
Animal_136_2DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,136.2,Control,0.1705789622888458,0.3063327510677328,Control,0.34865690566501295,False
Animal_136_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,136.3,Control,0.09310538677618181,0.2492934158826293,Control,0.5173564346127923,False
Animal_136_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,136.5,Control,0.3123548796730327,-0.47751111998271994,Control,-0.32885110884809166,False
Animal_137_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,137.3,Control,-0.3490347957314073,0.2780183625443504,Control,0.3628664909510513,False
Animal_144_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,144.3,ELS,-0.023136594641320764,0.4326944310728735,ELS,0.417024785380146,False
Animal_144_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,144.5,ELS,0.11672323611630166,0.46969445558307305,ELS,0.324356886285411,False
Animal_145_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,145.5,Control,0.1071559026011453,0.12086880840341924,Control,0.47717408689423013,False
Animal_146_6DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,146.6,Control,0.488412598353529,-0.1916550236107591,Control,-0.2174011086134277,False
Animal_147_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,147.4,Control,0.31582030207362327,-0.21130299980091827,Control,-0.3766444241167964,False
Animal_148_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,148.4,ELS,0.04409828093533622,-0.25657941086709923,ELS resilient,-0.8152102369970768,True
Animal_150_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,150.3,ELS,0.44843045593324177,0.05029692793975759,ELS resilient,-0.06651463695498462,True
Animal_150_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,150.5,ELS,-0.37288085544071836,-0.19381175131063655,ELS resilient,-0.06494495020811444,True
Animal_152_3DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,152.3,Control,-0.17844645043651944,-0.2986899321339837,Control,-0.3684460389553142,False
Animal_152_5DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,152.5,Control,0.340283647486733,-0.1472713042756974,Control,-0.31103413824544013,False
Animal_153_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,153.4,ELS,0.23471945715205084,0.22855652656995146,ELS,0.2433762537450506,False
Animal_154_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,154.4,ELS,0.19800578356277412,0.05598634090649839,ELS,0.017308994098270473,False
Animal_157_1DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,157.1,Control,-0.14364734963755996,-0.12790358156178855,Control,-0.3244466477254374,False
Animal_157_4DLC_resnet50_Freezing_07-2020Sep29shuffle1_100000filtered,157.4,Control,0.021564945676451033,0.08407179365212529,Control,1.172754537011206,False
